Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Is_New,cell_id,Cycle
124.0,2061.31,612.7999999998137,3.956,3.468,4522.711999999825,5480.31,9030.17,941,0,,
125.0,2059.33,613.2000000001863,3.956,3.468,4515.543000000063,5480.34,9029.02,940,0,,
126.0,2057.19,611.2000000001863,3.956,3.469,4514.328000000212,5480.33,9008.94,939,0,,
127.0,2054.41,609.6000000000931,3.956,3.469,4508.358999999706,5444.36,8966.09,938,0,,
128.0,2056.84,604.8130000005476,3.968,3.683,4452.344000000041,5432.0,9017.19,937,0,,
129.0,2056.22,606.3999999999069,3.953,3.778,4443.543999999762,5408.34,9037.5,936,0,,
130.0,2055.66,612.0,3.954,3.473,4501.143999999389,5444.34,8991.53,935,0,,
131.0,2053.09,608.0,3.955,3.471,4501.14400000032,5444.34,9002.19,934,0,,
132.0,2050.38,608.0,3.955,3.471,4490.343999999575,5444.34,8983.53,933,0,,
133.0,2047.41,606.3999999999069,3.954,3.472,4479.544000000227,5444.34,8951.03,932,0,,
134.0,2040.0,602.3999999999069,3.954,3.472,4472.218999999575,5444.22,8972.78,931,0,,
135.0,2043.12,602.3999999999069,3.954,3.473,4465.14400000032,5408.34,8962.78,930,0,,
136.0,2041.28,604.0,3.954,3.474,4457.975000000093,5408.38,8934.28,929,0,,
137.0,2039.94,604.7999999998137,3.954,3.474,4450.713000000455,5408.31,8963.12,928,0,,
138.0,2037.31,600.7999999998137,3.954,3.475,4448.344000000507,5408.34,8945.94,927,0,,
139.0,2034.53,600.0,3.953,3.475,4436.344000000041,5408.34,8960.34,926,0,,
140.0,2031.91,597.6000000000931,3.953,3.477,4429.142999999691,5372.34,8937.38,925,0,,
141.0,2029.62,597.6000000000931,3.953,3.477,4421.944000000134,5372.34,8916.44,924,0,,
142.0,2027.94,594.0,3.953,3.477,4414.743999999482,5372.34,8934.28,923,0,,
143.0,2026.5,596.0,3.953,3.477,4407.575000000186,5372.38,8916.34,922,0,,
144.0,2024.91,596.0,3.953,3.477,4407.575000000186,5372.38,8886.0,921,0,,
145.0,2022.97,594.0,3.953,3.478,4400.280999999493,5372.28,8890.44,920,0,,
146.0,2020.69,594.3999999999069,3.953,3.478,4395.424999999814,5338.62,8906.66,919,0,,
147.0,2019.53,594.3999999999069,3.953,3.479,4385.913000000641,5336.31,8907.84,918,0,,
148.0,2017.44,590.3999999999069,3.952,3.479,4385.881000000518,5336.28,8902.09,917,0,,
149.0,2015.38,592.0,3.952,3.48,4378.712999999989,5336.31,8900.31,916,0,,
150.0,2013.44,588.7999999998137,3.952,3.48,4371.513000000268,5336.31,8877.38,915,0,,
151.0,2011.69,587.969000000041,3.952,3.48,4364.311999999918,5300.31,8899.56,914,0,,
152.0,2012.62,583.186999999918,3.963,3.7,4312.375,5285.0,8968.81,913,0,,
153.0,2027.26,584.0,3.944,3.795,4247.35999999987,5228.38,8969.5,912,0,,
154.0,2028.77,588.0,3.946,3.482,4407.680000000168,5372.48,8979.74,911,0,,
155.0,2025.92,588.0,3.946,3.48,4412.3849999997765,5372.38,8977.47,910,0,,
156.0,2022.88,588.0,3.947,3.481,4400.319999999832,5336.32,8961.73,909,0,,
157.0,2020.26,588.0,3.947,3.481,4393.119999999646,5336.32,8935.84,908,0,,
158.0,2017.89,588.8206666661426,3.948,3.481,4385.920000000391,5336.32,8942.02,907,0,,
159.0,2015.01,586.0,3.947,3.481,4378.732400000095,5336.35,8934.02,906,0,,
160.0,2012.12,586.0,3.947,3.481,4371.552000000142,5336.35,8935.1,905,0,,
161.0,2009.28,587.2000000001863,3.947,3.483,4357.057999999728,5300.26,8904.8,904,0,,
162.0,2006.98,587.2000000001863,3.948,3.483,4350.077000000048,5300.48,8929.31,903,0,,
163.0,2003.45,584.0,3.947,3.483,4342.720000000205,5300.32,8898.95,902,0,,
164.0,2001.12,584.0,3.947,3.484,4334.351000000257,5264.35,8876.16,901,0,,
165.0,2000.3,583.2000000001863,3.948,3.485,4328.344000000041,5264.34,8905.28,900,0,,
166.0,1998.2,583.2000000001863,3.948,3.485,4321.128000000026,5264.33,8892.8,899,0,,
167.0,1996.12,579.2000000001863,3.948,3.485,4313.913000000175,5264.31,8886.49,898,0,,
168.0,1993.89,580.0,3.948,3.486,4306.774999999907,5264.38,8876.73,897,0,,
169.0,1991.48,577.6000000000931,3.948,3.486,4299.513000000268,5264.31,8875.16,896,0,,
170.0,1988.7,578.0,3.948,3.487,4292.375,5228.38,8867.03,895,0,,
171.0,1986.33,576.0,3.948,3.487,4285.160000000149,5228.36,8879.36,894,0,,
172.0,1984.34,576.0,3.948,3.488,4274.375,5228.38,8845.78,893,0,,
173.0,1983.17,576.0,3.948,3.488,4270.743999999948,5228.34,8866.3,892,0,,
174.0,1980.94,572.0,3.948,3.489,4263.528000000399,5228.33,8847.72,891,0,,
175.0,1979.61,572.0,3.948,3.489,4256.358999999706,5192.36,8849.66,890,0,,
176.0,1979.94,568.813000000082,3.958,3.705,4200.375,5180.0,8934.25,889,0,,
177.0,1979.53,569.5752000003122,3.944,3.792,4184.25,5156.25,8913.38,888,0,,
178.0,1981.72,570.3999999999069,3.947,3.492,4249.111999999266,5192.31,8864.31,887,0,,
179.0,1979.66,570.3999999999069,3.948,3.49,4256.311999999452,5192.31,8883.53,886,0,,
180.0,1976.91,570.3999999999069,3.947,3.49,4249.174999999814,5192.38,8855.38,885,0,,
181.0,1974.62,568.7999999998137,3.947,3.491,4241.944000000134,5192.34,8830.59,884,0,,
182.0,1971.97,570.0,3.947,3.492,4234.649999999907,5192.25,8846.88,883,0,,
183.0,1969.75,567.2000000001863,3.947,3.492,4220.311999999452,5156.31,8852.78,882,0,,
184.0,1967.53,568.0,3.947,3.493,4213.174999999814,5156.38,8834.19,881,0,,
185.0,1965.28,565.6000000000931,3.947,3.492,4205.943999999668,5156.34,8817.22,880,0,,
186.0,1963.28,565.6000000000931,3.946,3.493,4198.7440000004135,5156.34,8813.94,879,0,,
187.0,1961.53,562.0,3.946,3.494,4191.575000000186,5156.38,8801.78,878,0,,
188.0,1959.62,564.0,3.946,3.494,4190.343999999575,5120.34,8824.09,877,0,,
189.0,1957.34,560.0,3.946,3.494,4184.343999999575,5120.34,8801.41,876,0,,
190.0,1955.16,562.0,3.945,3.497,4172.311999999452,5120.31,8809.81,875,0,,
191.0,1952.91,560.0,3.945,3.495,4166.375,5120.38,8777.41,874,0,,
192.0,1951.66,560.0,3.945,3.514,4162.774999999907,5120.38,8804.59,873,0,,
193.0,1950.38,560.7999999998137,3.945,3.497,4155.543999999762,5120.34,8766.28,872,0,,
194.0,1948.78,558.0,3.944,3.496,4155.513000000268,5084.31,8777.09,871,0,,
195.0,1946.69,559.2000000001863,3.944,3.496,4148.25,5084.25,8759.97,870,0,,
196.0,1944.72,557.6000000000931,3.944,3.497,4141.142999999691,5084.34,8749.78,869,0,,
197.0,1943.06,556.0,3.943,3.498,4133.913000000175,5084.31,8734.56,868,0,,
198.0,1940.88,556.0,3.943,3.498,4126.712999999989,5084.31,8744.19,867,0,,
199.0,1938.38,552.0,3.943,3.498,4119.513000000268,5084.31,8716.0,866,0,,
200.0,1937.44,549.563000000082,3.954,3.711,4060.25,5033.0,8863.06,865,0,,
201.0,1968.35,548.0,3.934,3.459,4681.118999999482,5696.32,9656.32,864,0,,
202.0,1973.66,558.0,3.938,3.502,4205.85599999968,5156.25,8904.51,863,0,,
203.0,1971.77,556.0,3.938,3.499,4226.319999999832,5156.32,8909.98,862,0,,
204.0,1968.38,556.0,3.938,3.517,4220.351000000257,5156.35,8858.62,861,0,,
205.0,1966.05,555.2000000001863,3.938,3.5,4213.119999999646,5156.32,8875.39,860,0,,
206.0,1963.81,559.2000000001863,3.939,3.5,4205.9199999999255,5156.32,8883.33,859,0,,
207.0,1960.52,555.2000000001863,3.939,3.5,4198.751999999862,5156.35,8882.59,858,0,,
208.0,1958.75,558.0,3.939,3.501,4184.25,5120.25,8884.8,857,0,,
209.0,1954.53,555.2000000001863,3.939,3.501,4177.119999999646,5120.32,8859.23,856,0,,
210.0,1944.0,555.2000000001863,3.939,3.502,4169.8809999995865,5120.28,8853.18,855,0,,
211.0,1948.86,555.2000000001863,3.939,3.502,4155.520000000019,5084.32,8866.09,854,0,,
212.0,1945.6,552.0,3.939,3.502,4148.320000000298,5084.32,8821.63,853,0,,
213.0,1944.05,551.2000000001863,3.94,3.503,4141.14400000032,5084.34,8828.34,852,0,,
214.0,1941.52,551.2000000001863,3.94,3.503,4133.991000000387,5084.39,8832.58,851,0,,
215.0,1939.2,550.2000000001863,3.94,3.504,4126.760000000242,5084.36,8826.5,850,0,,
216.0,1936.7,548.0,3.94,3.504,4118.342999999877,5048.34,8826.42,849,0,,
217.0,1933.28,545.6000000000931,3.94,3.505,4105.12799999956,5048.33,8816.8,848,0,,
218.0,1930.34,546.0,3.94,3.505,4097.960000000428,5048.36,8802.05,847,0,,
219.0,1927.84,544.0,3.94,3.507,4088.313000000548,5048.31,8785.38,846,0,,
220.0,1925.83,544.0,3.94,3.507,4082.313000000548,5012.31,8788.12,845,0,,
221.0,1924.0,543.0,3.939,3.507,4069.143999999389,5012.34,8789.25,844,0,,
222.0,1921.47,542.0,3.94,3.507,4069.1749999998137,5012.38,8743.0,843,0,,
223.0,1919.81,542.0,3.94,3.508,4061.9280000003055,5012.33,8757.0,842,0,,
224.0,1916.62,535.2190000005066,3.949,3.713,3990.312999999616,4963.0,8836.0,841,0,,
225.0,1918.28,535.0,3.936,3.801,3968.344000000506,4940.34,8817.22,840,0,,
226.0,1920.19,540.0,3.939,3.511,4047.5439999997616,4976.34,8748.66,839,0,,
227.0,1919.38,540.0,3.94,3.509,4054.742999999784,4976.34,8775.16,838,0,,
228.0,1916.16,536.0,3.939,3.508,4047.513000000268,4976.31,8790.56,837,0,,
229.0,1913.22,538.0,3.939,3.509,4040.2500000004657,4976.25,8756.53,836,0,,
230.0,1910.22,535.2000000001863,3.939,3.509,4033.143999999389,4976.34,8740.84,835,0,,
231.0,1907.94,535.9786666668952,3.938,3.51,4018.7430000007153,4976.34,8771.28,834,0,,
232.0,1905.22,534.0,3.938,3.51,4011.543000000529,4940.34,8720.34,833,0,,
233.0,1903.59,534.0,3.938,3.511,4004.375,4940.38,8731.69,832,0,,
234.0,1901.81,534.0,3.938,3.51,3997.143000000157,4940.34,8703.78,831,0,,
235.0,1900.47,530.0,3.938,3.511,3989.94299999997,4940.34,8728.19,830,0,,
236.0,1898.09,532.0,3.938,3.511,3986.375,4940.38,8722.75,829,0,,
237.0,1896.53,530.0,3.937,3.512,3975.513000000268,4904.31,8714.59,828,0,,
238.0,1893.59,532.0,3.937,3.512,3968.375,4904.38,8720.88,827,0,,
239.0,1891.34,528.7999999998137,3.937,3.512,3961.1749999998137,4904.38,8706.53,826,0,,
240.0,1889.12,528.0,3.936,3.512,3953.943999999203,4904.34,8678.12,825,0,,
241.0,1887.22,528.0,3.936,3.513,3946.7120000002906,4904.31,8671.62,824,0,,
242.0,1885.81,527.0,3.936,3.513,3944.280999999493,4868.28,8695.03,823,0,,
243.0,1884.09,525.5999999996275,3.936,3.514,3939.543000000529,4868.34,8679.03,822,0,,
244.0,1881.06,523.0,3.935,3.513,3932.311999999918,4868.31,8692.19,821,0,,
245.0,1878.75,524.0,3.935,3.515,3925.0499999998137,4868.25,8663.44,820,0,,
246.0,1876.75,522.0,3.935,3.515,3917.974999999628,4868.38,8668.81,819,0,,
247.0,1872.62,518.0,3.934,3.516,3908.311999999918,4832.31,8612.31,818,0,,
248.0,1870.81,518.375,3.944,3.718,3829.375,4802.0,8762.25,817,0,,
249.0,1877.06,518.0,3.927,3.807,3805.120000000112,4762.72,8756.45,816,0,,
250.0,1878.02,521.0,3.929,3.518,3914.368999999948,4832.38,8701.25,815,0,,
251.0,1880.99,524.0,3.931,3.516,3917.951999999583,4868.35,8698.98,814,0,,
252.0,1880.16,523.2000000001863,3.931,3.514,3925.0579999992624,4868.26,8715.68,813,0,,
253.0,1878.27,524.0,3.932,3.514,3920.321000000462,4868.32,8698.75,812,0,,
254.0,1877.05,524.0,3.932,3.514,3917.95100000035,4868.35,8697.38,811,0,,
255.0,1875.39,521.0,3.932,3.514,3910.751000000164,4832.35,8703.91,810,0,,
256.0,1873.51,521.0,3.932,3.514,3903.520000000484,4832.32,8685.98,809,0,,
257.0,1870.08,522.0,3.931,3.514,3896.3519999999553,4832.35,8664.03,808,0,,
258.0,1869.05,520.0,3.931,3.515,3889.120000000112,4832.32,8684.32,807,0,,
259.0,1867.46,520.0,3.931,3.515,3884.3519999999553,4832.35,8693.86,806,0,,
260.0,1865.79,520.0,3.931,3.516,3881.9199999999255,4832.32,8696.76,805,0,,
261.0,1864.09,520.0,3.931,3.516,3874.720999999903,4796.32,8676.93,804,0,,
262.0,1862.83,520.0,3.931,3.516,3867.5590000003576,4796.36,8701.83,803,0,,
263.0,1861.62,519.0,3.931,3.516,3867.527999999933,4796.33,8690.66,802,0,,
264.0,1858.38,518.0,3.931,3.518,3860.3439999995753,4796.34,8682.02,801,0,,
265.0,1856.39,518.0,3.932,3.518,3853.158999999985,4796.36,8680.2,800,0,,
266.0,1854.02,514.0,3.931,3.519,3845.958999998868,4796.36,8676.55,799,0,,
267.0,1851.14,516.0,3.931,3.519,3838.7120000002906,4760.31,8655.91,798,0,,
268.0,1849.31,512.4000000003725,3.931,3.519,3830.359999999404,4760.36,8678.83,797,0,,
269.0,1847.76,512.0,3.931,3.52,3824.313000000082,4760.31,8675.06,796,0,,
270.0,1846.41,512.0,3.932,3.521,3817.143999999389,4760.34,8643.09,795,0,,
271.0,1844.89,511.9896666668356,3.932,3.521,3812.328000000678,4760.33,8638.34,794,0,,
272.0,1841.22,508.7819999996573,3.94,3.716,3731.327999999746,4703.98,8750.44,793,0,,
273.0,1847.88,508.0,3.928,3.811,3701.912999999709,4652.31,8779.03,792,0,,
274.0,1845.31,509.0,3.93,3.523,3817.111999999732,4760.31,8696.75,791,0,,
275.0,1846.91,508.0,3.931,3.523,3802.637600000016,4724.25,8683.03,790,0,,
276.0,1846.25,511.0,3.931,3.521,3817.143000000157,4760.34,8657.81,789,0,,
277.0,1843.84,508.0,3.931,3.521,3809.9119999995455,4760.31,8647.47,788,0,,
278.0,1841.31,507.0,3.931,3.523,3802.744000000879,4724.34,8650.38,787,0,,
279.0,1838.09,506.0,3.93,3.522,3788.375,4724.38,8628.94,786,0,,
280.0,1836.41,506.0,3.93,3.523,3781.143000000157,4724.34,8622.03,785,0,,
281.0,1834.84,505.0,3.929,3.523,3773.974999999628,4724.38,8624.31,784,0,,
282.0,1833.28,504.0,3.93,3.523,3766.7120000002906,4688.31,8633.38,783,0,,
283.0,1831.44,504.0,3.93,3.524,3764.313000000082,4688.31,8588.22,782,0,,
284.0,1829.5,502.0,3.929,3.524,3759.5439999997616,4688.34,8624.0,781,0,,
285.0,1826.47,502.0,3.929,3.524,3752.375,4688.38,8606.5,780,0,,
286.0,1824.62,500.0,3.929,3.525,3740.375,4688.38,8588.44,779,0,,
287.0,1823.16,500.1428571427241,3.929,3.525,3737.9119999995455,4652.31,8598.38,778,0,,
288.0,1821.81,500.1428571427241,3.929,3.526,3730.6180000007153,4652.22,8578.78,777,0,,
289.0,1819.62,498.0,3.929,3.526,3723.575000000186,4652.38,8569.03,776,0,,
290.0,1817.81,498.0,3.928,3.527,3716.343000000343,4652.34,8567.28,775,0,,
291.0,1817.06,498.0,3.928,3.526,3716.343000000343,4652.34,8580.75,774,0,,
292.0,1815.72,497.0,3.929,3.527,3709.14400000032,4652.34,8600.19,773,0,,
293.0,1813.44,496.0,3.928,3.527,3704.311999999918,4652.31,8594.09,772,0,,
294.0,1811.88,496.0,3.928,3.528,3694.775000000373,4616.38,8554.44,771,0,,
