cell_id,Cycle,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
cell_005,30,1200.664199999999,2.908800000004561,3.5896487,2.0273547,1441.250899999999,1981.252000000008,1981.252000000008,1197
cell_005,31,2400.8141999999934,2.888899999990855,3.5897279,2.0324626,1401.2467000000033,1981.2537000000011,1981.2537000000011,1196
cell_005,32,1200.629199999996,2.9983000000066795,3.588943,2.0266824,1571.2543000000007,1981.2602999999947,1981.2602999999947,1195
cell_005,33,2400.8179999999993,2.8656999999948596,3.5886626,2.0293994,1406.2471000000078,0.00010000000474974687,1981.2450000000242,1194
cell_005,34,1200.6477000000014,2.8432000000030655,3.5897193,2.0266795,1371.237599999993,1981.2460000000137,1981.2460000000137,1193
cell_005,35,2400.8078000000096,2.9496999999972218,3.5890069,2.02918,1406.2509999999893,0.00010000000474974687,1981.2547999999952,1192
cell_005,36,1200.6621999999911,3.013899999990741,3.5890718,2.026938,1476.2477999999828,1981.2569000000074,1981.2569000000074,1191
cell_005,37,2400.8223,2.8665000000039242,3.5894237,2.026691,1731.2581000000064,1981.262400000007,1981.262400000007,1190
cell_005,38,2400.8146000000124,2.8747999999902163,3.5885186,2.0262647,1441.2722999999824,9.999997564591814e-05,1981.2754999999886,1189
cell_005,39,2396.6278000000166,2.9378999999899236,3.588552,2.0321097,1416.2378999999783,1981.2400999999952,1981.2400999999952,1188
cell_005,40,1200.661300000007,2.7511999999987324,3.589685,2.0293193,1431.2533000000112,1981.2619000000122,1981.2619000000122,1187
cell_005,41,2400.7969000000157,2.801700000011067,3.5884671,2.0267777,1361.2552000000142,1981.261200000008,1981.261200000008,1186
cell_005,42,1200.6571000000113,2.684900000022026,3.5898433,2.0292821,1381.2608000000182,1981.2700000000186,1981.2700000000186,1185
cell_005,43,2400.826000000001,2.7419999999985123,3.5897079,2.0274949,1366.2621999999972,1981.2691999999806,1981.2691999999806,1184
cell_005,44,2400.809899999993,2.7501000000049203,3.5899196,2.0297799,1366.2522999999928,0.00010000000474974687,1981.256699999998,1183
cell_005,45,1200.685900000011,2.689299999998127,3.589951,2.0272164,1356.2588000000105,1981.2655000000084,1981.2655000000084,1182
cell_005,46,2399.5164000000223,2.8171000000148183,3.5895505,2.0285935,1356.2617000000027,1981.2626000000164,1981.2626000000164,1181
cell_005,47,2461.19160000002,2.7572999999974,3.5895534,2.0324473,1356.253400000016,1981.2583000000159,1981.2583000000159,1180
cell_005,48,2393.810700000002,2.673399999999475,3.5899806,2.029592,1356.2509999999893,1981.2558999999892,1981.2558999999892,1179
cell_005,49,2400.8389000000025,2.9272000000054277,3.5896058,2.0288138,1356.2737999999954,0.00010000000474974687,1981.2783000000054,1178
cell_005,50,2395.3559999999998,2.9241999999797486,3.589622,2.026175,1356.2776000000013,1981.2840999999898,1981.2840999999898,1177
cell_005,51,2397.4534999999737,2.8559999999997387,3.5895228,2.026896,1361.2636999999813,1981.2655999999843,1981.2655999999843,1176
cell_005,52,2391.297599999991,2.784599999984323,3.5895858,2.0324016,1361.242899999983,0.00010000000474974687,1981.2453999999852,1175
cell_005,53,2391.0448000000033,2.7488000000013812,3.5894551,2.0294623,1616.2448999999906,0.00010000000474974687,1981.2480999999968,1174
cell_005,54,1197.7026999999944,2.703199999989039,3.5900092,2.0273528,1366.2505999999992,1981.2541000000201,1981.2541000000201,1173
cell_005,55,1196.9299000000174,2.703200000018029,3.5895696,2.0267043,1381.2391000000061,0.00010000000474974687,1981.2425000000221,1172
cell_005,56,2394.4916000000085,2.6650999999837666,3.5899396,2.0293107,1416.2502000000093,1981.2539000000108,1981.2539000000108,1171
cell_005,57,2397.9224000000104,2.9382000000040875,3.5894151,2.0289168,1356.2427000000025,1981.2398000000105,1981.2398000000105,1170
cell_005,58,2393.6757999999973,2.8819000000076755,3.5899024,2.0287633,1421.2476000000024,1981.2445000000007,1981.2445000000007,1169
cell_005,59,2460.6874000000244,2.828799999988263,3.589993,2.0293489,1356.25940000001,1981.2588000000103,1981.2588000000103,1168
cell_005,60,1198.237400000013,2.9911999999896466,3.5886836,2.0293946,1356.3839000000153,1981.3846000000192,1981.3846000000192,1167
cell_005,61,2391.048999999999,2.8931999999915092,3.5898671,2.0284114,1386.2527000000118,1981.253400000016,1981.253400000016,1166
cell_005,62,2394.656400000007,2.9384999999892614,3.5898538,2.0291553,1356.263500000001,1981.2639999999956,1981.2639999999956,1165
cell_005,63,1195.2486999999965,2.7462999999991666,3.5894084,2.0289569,1481.2595000000147,1981.2608999999939,1981.2608999999939,1164
cell_005,64,2398.3483000000124,2.931199999991918,3.5889192,2.0291152,1391.2412999999942,1981.24040000001,1981.24040000001,1163
cell_005,65,2395.766499999998,3.048599999980297,3.589644,2.0289216,1361.2394000000204,1981.2498000000194,1981.2498000000194,1162
cell_005,66,2394.2613999999885,3.034400000003785,3.589622,2.032001,1456.2510000000184,1981.2473000000173,1981.2473000000173,1161
cell_005,67,2457.896500000002,3.108799999987326,3.5893674,2.0288901,1371.241399999999,1981.2411999999895,1981.2411999999895,1160
cell_005,68,1198.0191999999806,3.0535999999847263,3.5889707,2.0293841,1366.2472000000125,1981.2465000000086,1981.2465000000086,1159
cell_005,69,1196.7889999999898,2.9384999999892614,3.5892167,2.029388,1421.2503000000145,1981.257100000017,1981.257100000017,1158
cell_005,70,1188.8900999999898,2.7446000000055903,3.5897183,2.0322242,1356.2580999999773,1981.2566999999976,1981.2566999999976,1157
cell_005,71,2392.2361000000087,2.7342999999817152,3.5898566,2.0292373,1386.262400000007,1981.26390000002,1981.26390000002,1156
cell_005,72,2390.132899999997,2.8545999999913363,3.5889192,2.029325,1356.2502999999851,1981.2526999999827,1981.2526999999827,1155
cell_005,73,2451.3407000000007,2.8477000000130204,3.5898938,2.0271153,1361.2775000000256,1981.2779000000155,1981.2779000000155,1154
cell_005,74,2391.7950999999885,3.0157000000475875,3.5885777,2.0270963,1361.281799999997,1981.286399999983,1981.286399999983,1153
cell_005,75,1194.9993999999715,3.0152999999701535,3.588716,2.0273547,1361.2733999999473,1981.2807000000032,1981.2807000000032,1152
cell_005,76,2394.4328000000096,2.8955999999888604,3.5890393,2.026792,1371.2644999999902,1981.2664999999693,1981.2664999999693,1151
cell_005,77,1195.2633999999962,2.8672000000371156,3.5896716,2.0287023,1366.2436999999918,1981.2443000000205,1981.2443000000205,1150
cell_005,78,2393.6088999999924,2.9281000000193558,3.5899653,2.0268645,1926.267700000026,1981.2695999999996,1981.2695999999996,1149
cell_005,79,2392.2480000000214,2.9872999999790295,3.5887694,2.0320487,1436.2416000000085,1981.2464000000036,1981.2464000000036,1148
cell_005,80,2393.265800000052,2.7122999999554054,3.589828,2.0297723,1376.253100000031,1981.2576000000117,1981.2576000000117,1147
cell_005,81,1188.5920999999505,2.761799999978365,3.5897756,2.0268636,1361.2503000000145,1981.2519999999786,1981.2519999999786,1146
cell_005,82,1190.7905000000026,2.67989999998818,3.5897717,2.0327725,1361.2638999999617,1981.2677999999723,1981.2677999999723,1145
cell_005,83,2394.2786000000197,2.743900000001389,3.5896716,2.0298362,1436.2539000000106,0.00010000000474974687,1981.2597999999998,1144
cell_005,84,2391.7409000000334,2.7449999999952013,3.5896878,2.0266414,1361.2479999999632,1981.258199999982,1981.258199999982,1143
cell_005,85,2393.3219000000386,2.740500000014663,3.5894914,2.0269771,1361.2631999999867,1981.2697000000046,1981.2697000000046,1142
cell_005,86,1189.2402000000004,2.7322000000279445,3.5888324,2.0291772,1361.270599999989,1981.2782000000007,1981.2782000000007,1141
cell_005,87,1192.5800999999628,2.8047999999836293,3.5895038,2.0295863,1386.2565000000177,0.00010000000474974687,1981.251099999994,1140
cell_005,88,2391.6865000000107,2.790399999998243,3.5888133,2.0268712,1426.2810000000175,1981.286699999997,1981.286699999997,1139
cell_005,89,2458.62440000003,2.82000000000707,3.589395,2.0295215,1371.2449999999951,1981.251799999969,1981.251799999969,1138
cell_005,90,2389.492000000027,2.708500000007632,3.5899644,2.0289092,1381.248499999987,1981.2502000000095,1981.2502000000095,1137
cell_005,91,2392.364799999981,2.6900000000023283,3.5899043,2.0296149,1366.2458000000333,1981.2513000000038,1981.2513000000038,1136
cell_005,92,2387.1876000000047,2.7312999999846,3.5893979,2.0267224,1356.2558999999892,0.00010000000474974687,1981.2591999999713,1135
cell_005,93,2390.5248000000133,2.7040000000270936,3.5894723,2.0300126,1361.2479999999632,1981.2545999999857,1981.2545999999857,1134
cell_005,94,2392.8734999999874,2.7632000000447476,3.5896344,2.02702,1386.2603000000236,0.00010000000474974687,1981.256400000013,1133
cell_005,95,2389.8781999999774,2.8545000000158893,3.5897756,2.0293374,1356.2562000000034,1981.249300000025,1981.249300000025,1132
cell_005,96,2390.623800000001,2.7980000000097505,3.589745,2.0295396,1356.2516000000178,1981.2530000000263,1981.2530000000263,1131
cell_005,97,2452.8977000000305,2.706599999975765,3.5894961,2.0296235,1356.2452999999514,1981.2565999999642,1981.2565999999642,1130
cell_005,98,2449.629499999981,2.860999999975178,3.5886712,2.0321622,1356.2621999999974,1981.2701000000231,1981.2701000000231,1129
cell_005,99,2392.8591999999485,2.835200000030511,3.5895915,2.0272517,1356.258600000001,1981.2648000000045,1981.2648000000045,1128
cell_005,100,1187.426700000011,2.852100000018112,3.5896029,2.0293489,1381.248499999987,1981.249599999981,1981.249599999981,1127
cell_005,101,2453.5966999999946,2.871199999993763,3.5896373,2.0296931,1361.2460999999894,1981.2534999999916,1981.2534999999916,1126
cell_005,102,2389.363000000012,2.8569000000132405,3.5885186,2.0296035,1711.2455000000189,1981.2486999999967,1981.2486999999967,1125
cell_005,103,1190.4496999999974,2.863199999963655,3.589951,2.0294948,1356.2314999999944,1981.2349000000395,1981.2349000000395,1124
cell_005,104,1187.6537000000244,2.8288000000176794,3.5888791,2.0322108,1356.2460999999894,1981.2471999999834,1981.2471999999834,1123
cell_005,105,2393.2033999999985,2.7876999999863017,3.5897593,2.0274262,1356.2452999999514,1981.2439000000015,1981.2439000000015,1122
cell_005,106,2386.943499999994,2.753099999972619,3.5896802,2.0292048,1356.2658999999985,1981.268400000001,1981.268400000001,1121
cell_005,107,1190.720399999991,2.789799999969489,3.5897002,2.0293288,1731.2607000000426,1981.2666000000315,1981.2666000000315,1120
cell_005,108,2392.0973999999696,2.7063999999664645,3.5896602,2.0294137,1401.2535000000498,1981.2589000000153,1981.2589000000153,1119
cell_005,109,2389.5261000000173,2.810500000021676,3.5890584,2.0292172,1356.249199999962,1981.251799999969,1981.251799999969,1118
cell_005,110,2388.0316999999923,2.784199999994712,3.5897365,2.029654,1356.2447999999856,1981.2532000000356,1981.2532000000356,1117
cell_005,111,2387.8426999999792,3.007999999972384,3.5897861,2.0296159,1356.2465000000084,1981.248800000001,1981.248800000001,1116
cell_005,112,2396.546000000031,2.9167000000016685,3.5894599,2.0324235,1361.2437999999968,1981.243000000017,1981.243000000017,1115
cell_005,113,2389.8057999999724,2.915399999997703,3.5895495,2.0316243,1356.2362999999896,1981.244200000015,1981.244200000015,1114
cell_005,114,2389.0815000000293,2.841799999994663,3.588902,2.0320764,1356.2514000000083,1981.2563000000082,1981.2563000000082,1113
cell_005,115,2385.1378000000223,2.9250999999749183,3.5895705,2.0321565,1351.2486000000063,1976.2559999999648,1976.2559999999648,1112
cell_005,116,1190.2375999999997,2.678499999999815,3.5896411,2.0291648,1356.2582999999997,1981.2656999999997,1981.2656999999997,1111
cell_005,117,2391.4332999999997,2.76159999999976,3.5895104,2.0271277,1811.2624999999998,1981.2729,1981.2729,1110
cell_005,118,2385.7932999999994,2.8638000000009356,3.5898194,2.0290895,1356.2536,1981.2560000000012,1981.2560000000012,1109
cell_005,119,1185.4164999999994,2.8626000000005547,3.5896668,2.0269227,1361.2738999999983,1981.2701000000002,1981.2701000000002,1108
cell_005,120,1190.2283000000027,2.706400000002702,3.5894055,2.0295901,1386.2602000000006,1981.2651000000003,1981.2651000000003,1107
cell_005,121,2392.9167000000016,2.718900000000133,3.589951,2.026751,1391.2767000000022,1981.2783000000015,1981.2783000000015,1106
cell_005,122,2386.8217000000004,2.81170000000202,3.589891,2.0287499,1361.234199999999,1981.2369999999971,1981.2369999999971,1105
cell_005,123,2389.4488999999994,2.7832000000015,3.589747,2.0273671,1356.2618000000002,0.00010000000111177153,1981.2652000000019,1104
cell_005,124,1185.2747999999995,2.8263999999981593,3.5896888,2.0292249,1366.2524999999985,1981.2579999999978,1981.2579999999978,1103
cell_005,125,2393.107900000003,2.728699999999691,3.5897546,2.0297179,1356.2542999999969,1981.262499999997,1981.262499999997,1102
cell_005,126,2390.5517000000036,2.704000000005351,3.589766,2.0266995,1356.2606000000014,1981.2606000000014,1981.2606000000014,1101
cell_005,127,1187.0141999999978,2.767099999996958,3.5895066,2.0270572,1371.2526999999973,1981.256300000001,1981.256300000001,1100
cell_005,128,1186.9029999999984,2.7718999999997607,3.5898767,2.0293384,1356.2433999999994,1981.2449999999953,1981.2449999999953,1099
cell_005,129,2451.565999999999,2.766900000002579,3.5895286,2.0273871,1371.2756999999983,1981.2772000000043,1981.2772000000043,1098
cell_005,130,2451.0248999999967,2.9884999999994477,3.5893426,2.0290465,1361.2741000000024,1981.272600000004,1981.272600000004,1097
cell_005,131,2388.5365999999995,2.6822000000028368,3.5887933,2.0293555,1356.2701000000015,1981.2805000000008,1981.2805000000008,1096
cell_005,132,1187.4662000000026,2.870499999997236,3.5887389,2.0293746,1361.2459999999992,1981.249000000003,1981.249000000003,1095
cell_005,133,2389.2045,2.9464999999980535,3.5888429,2.0270753,1356.2409000000043,1981.2471000000007,1981.2471000000007,1094
cell_005,134,1189.3300999999994,3.0392999999965298,3.5899682,2.0292516,1371.2655999999988,1981.2634999999934,1981.2634999999934,1093
cell_005,135,2385.9974,2.7419000000008964,3.5898814,2.0291305,1356.258600000001,1981.2585000000038,1981.2585000000038,1092
cell_005,136,2391.4827000000078,2.8989000000001397,3.5896087,2.0274358,1366.2661999999982,9.999999747377017e-05,1981.2651000000042,1091
cell_005,137,2385.257899999997,3.00599999999406,3.5887065,2.0292697,1376.2799999999986,1981.2780000000057,1981.2780000000057,1090
cell_005,138,2387.454400000002,3.032999999995809,3.5899005,2.0296874,1371.2379999999976,1981.234899999996,1981.234899999996,1089
cell_005,139,2386.615699999995,2.8487000000023954,3.5896344,2.0271783,1506.2519999999931,1981.2550999999944,1981.2550999999944,1088
cell_005,140,1185.8471999999892,2.874199999991305,3.5889964,2.0300088,1456.2666999999929,1981.268400000001,1981.268400000001,1087
cell_005,141,1189.149499999999,2.8133999999990067,3.5896173,2.0292735,1601.2583000000013,1981.2630999999965,1981.2630999999965,1086
cell_005,142,1185.1102999999998,2.916700000001242,3.5886102,2.0292468,1366.261200000008,1981.2637000000107,1981.2637000000107,1085
cell_005,143,2384.5455999999976,3.009200000000476,3.5886579,2.0271153,1521.2569999999978,1981.2611999999936,1981.2611999999936,1084
cell_005,144,2386.931300000011,2.865600000004491,3.589869,2.0326505,1356.251700000008,0.00010000000474974687,1981.2520999999979,1083
cell_005,145,2389.536400000012,2.75259999999264,3.5897288,2.0292344,1356.2600999999995,1981.2692000000097,1981.2692000000097,1082
cell_005,146,2385.4916999999987,2.8503999999959717,3.589829,2.032166,1441.2483000000066,1981.2572000000075,1981.2572000000075,1081
cell_005,147,2384.223099999988,2.8800999999947408,3.5887103,2.0325389,1361.2562000000032,1981.2639000000052,1981.2639000000052,1080
cell_005,148,2387.6924,2.891799999997602,3.5884614,2.0274911,1356.2632999999914,1981.2648999999944,1981.2648999999944,1079
cell_005,149,1185.620299999995,2.7108000000009724,3.5895066,2.0322108,1356.266300000003,1981.2641000000003,1981.2641000000003,1078
cell_005,150,2445.371199999994,2.787100000001459,3.5888801,2.0293231,1416.2340000000113,1981.239300000001,1981.239300000001,1077
cell_005,151,2383.1553999999887,2.7451000000000647,3.589664,2.029552,1431.252299999993,1981.261299999998,1981.261299999998,1076
cell_005,152,2385.0090000000055,2.702900000003865,3.5898147,2.0270457,1356.2535999999966,0.00010000000474974687,1981.254700000005,1075
cell_005,153,1186.2575000000072,2.80150000000134,3.5897279,2.0273938,1421.2734000000055,1981.2790999999995,1981.2790999999995,1074
cell_005,154,1183.723500000007,2.7945000000032394,3.5898795,2.02706,1356.2793999999994,1981.2748999999892,1981.2748999999892,1073
cell_005,155,1183.5484,2.9320000000009827,3.589561,2.0325599,1356.2430000000022,1981.2461999999944,1981.2461999999944,1072
cell_005,156,2386.7439999999915,2.822199999995121,3.5896621,2.0295663,1356.2955000000075,1981.2934000000096,1981.2934000000096,1071
cell_005,157,2443.9696000000113,2.787099999986964,3.5898404,2.0267749,1356.2719999999972,1981.27919999999,1981.27919999999,1070
cell_005,158,2386.099900000001,2.7456999999994025,3.5887895,2.0321145,1376.2419999999984,0.00010000000474974687,1981.2480000000214,1069
cell_005,159,2389.048899999994,2.7394999999962977,3.5900483,2.0322642,1456.2638999999908,1981.2749999999942,1981.2749999999942,1068
cell_005,160,2442.065900000016,2.8263999999909117,3.5888925,2.0296903,1361.270899999974,1981.2747999999845,1981.2747999999845,1067
cell_005,161,2443.250800000009,2.7471999999836783,3.58952,2.0295606,1366.2656000000134,1981.269300000014,1981.269300000014,1066
cell_005,162,2383.6922000000195,2.7664999999980466,3.5887084,2.027204,1486.266100000008,1981.2695999999996,1981.2695999999996,1065
cell_005,163,1180.8846000000192,2.8113000000013244,3.5897889,2.02953,1421.2468999999985,0.00010000000474974687,1981.250100000005,1064
cell_005,164,2385.9348000000173,3.014499999990079,3.588758,2.032167,1386.239499999996,1981.2464000000032,1981.2464000000032,1063
cell_005,165,2386.7894000000083,2.7649999999847807,3.5897632,2.0291648,1386.2505999999994,1981.2467000000179,1981.2467000000179,1062
cell_005,166,1184.518199999991,2.824599999992472,3.5895,2.0297065,1356.2814000000071,1981.2788000000003,1981.2788000000003,1061
cell_005,167,1184.9317999999914,2.8600999999910925,3.5886159,2.0273118,1426.2580000000016,1981.2563000000082,1981.2563000000082,1060
cell_005,168,2382.1324000000022,2.8435999999931028,3.5897841,2.027101,1366.286699999997,1981.2976999999958,1981.2976999999958,1059
cell_005,169,1180.6734,2.9524000000091633,3.5886855,2.0295815,1366.2787999999998,1981.2801000000038,1981.2801000000038,1058
cell_005,170,2383.328200000018,2.8543999999820358,3.5899396,2.0329614,1371.2674999999872,1981.2728999999815,1981.2728999999815,1057
cell_005,171,2386.3350000000214,2.9118000000016764,3.5885034,2.0291104,1356.261199999979,1981.262699999992,1981.262699999992,1056
cell_005,172,2385.3055999999924,2.98550000000958,3.5887246,2.0320716,1401.2336000000068,1981.2412000000186,1981.2412000000186,1055
cell_005,173,2385.6766000000066,2.9610000000100456,3.5896897,2.0270667,1366.259699999995,1981.2587000000058,1981.2587000000058,1054
cell_005,174,2391.4058999999834,2.8169999999809647,3.5886235,2.0322061,1351.273199999996,1981.2728999999815,1981.2728999999815,1053
cell_005,175,2385.497199999983,2.931899999995693,3.5890069,2.0285058,1366.2688000000198,1981.274400000024,1981.274400000024,1052
cell_005,176,2394.4719999999797,2.7102000000012083,3.5900607,2.0317016,1356.2528000000164,1981.2560000000233,1981.2560000000233,1051
cell_005,177,2385.2853999999934,2.902900000015194,3.5890651,2.0281692,1356.273599999986,1981.2792999999947,1981.2792999999947,1050
cell_005,178,2382.8875000000116,2.8603999999762664,3.589829,2.0295815,1366.2464000000034,0.00010000000474974687,1981.252299999993,1049
cell_005,179,2386.9294999999984,2.9274999999906015,3.5897946,2.0273185,1376.2643999999857,1981.2687999999907,1981.2687999999907,1048
cell_005,180,2447.679400000023,2.8798999999999353,3.5887189,2.0270886,1691.2592999999758,1981.2633999999962,1981.2633999999962,1047
cell_005,181,1179.3968999999925,2.8318999999902417,3.5895619,2.0290112,1351.2563000000084,1981.2620999999926,1981.2620999999926,1046
cell_005,182,1188.8726000000024,2.767300000006685,3.5888343,2.027287,1361.2428000000073,1981.2485999999917,1981.2485999999917,1045
cell_005,183,2381.291800000007,2.9921000000031484,3.5890412,2.0293126,1356.2532999999821,0.00010000000474974687,1981.2557999999847,1044
cell_005,184,2381.9229000000046,2.926299999991926,3.5898767,2.0296731,1406.2502999999851,9.999997564591814e-05,1981.2532999999821,1043
cell_005,185,2383.6134999999776,2.8929000000063354,3.5898356,2.0320344,1356.2568000000028,1981.2572999999975,1981.2572999999975,1042
cell_005,186,2383.791200000007,2.940900000016029,3.5898614,2.0324636,1366.2623000000021,1981.260800000018,1981.260800000018,1041
cell_005,187,2382.4900999999954,2.986799999984129,3.5900865,2.0292068,1376.2497999999905,0.00010000000474974687,1981.2511999999988,1040
cell_005,188,2389.8709999999846,2.9122999999961507,3.5901008,2.0325198,1396.2753000000084,1981.2765000000074,1981.2765000000074,1039
cell_005,189,2385.5791999999788,2.8789000000105602,3.5897098,2.0286222,1366.2421000000031,1981.2473999999931,1981.2473999999931,1038
cell_005,190,1185.4745999999868,2.888899999990855,3.5900941,2.0269189,1356.2758999999787,9.999997564591814e-05,1981.2737999999954,1037
cell_005,191,1184.6442000000097,2.872700000007029,3.5886045,2.0268312,1351.2568000000028,1981.2540999999906,1981.2540999999906,1036
cell_005,192,2443.012399999978,2.851100000000173,3.588695,2.0320792,1356.2514000000083,1981.2577999999924,1981.2577999999924,1035
cell_005,193,2382.3803999999946,2.825599999981847,3.588695,2.0296159,1466.241000000009,1981.2421000000031,1981.2421000000031,1034
cell_005,194,1181.4753999999957,2.7528999999923087,3.5895791,2.0268455,1351.259699999995,1981.2694999999949,1981.2694999999949,1033
cell_005,195,2383.009200000001,2.7275000000082628,3.5898566,2.0268178,1351.2676999999967,1981.271999999997,1981.271999999997,1032
cell_005,196,2440.6517999999924,2.829999999987365,3.589499,2.0268617,1361.2808999999834,1981.2829999999958,1981.2829999999958,1031
cell_005,197,2382.051299999992,2.9576999999987663,3.5893569,2.0271688,1476.2516000000178,0.00010000000474974687,1981.2547999999952,1030
cell_005,198,1180.770599999989,2.9030999999959306,3.5897326,2.0270743,1371.2550000000047,1981.2673000000068,1981.2673000000068,1029
cell_005,199,2384.74450000003,2.8016000000062036,3.5895448,2.0270314,1436.2905000000028,1981.2878000000487,1981.2878000000487,1028
cell_005,200,1178.227899999998,3.0275000000254693,3.5886159,2.0270905,1641.2618999999831,1981.2564999999595,1981.2564999999595,1027
cell_005,201,2376.940600000031,2.9108000000123013,3.5884719,2.0326247,1666.2408000000287,1981.2373000000368,1981.2373000000368,1026
cell_005,202,2379.752399999998,2.7476000000022793,3.5888,2.027782,1351.2950999999885,1981.3021999999767,1981.3021999999767,1025
cell_005,203,2380.179500000027,2.9824999999834745,3.5894942,2.0295453,1396.2558999999892,1981.260799999989,1981.260799999989,1024
cell_005,204,2387.0687000000034,2.922499999985746,3.5899396,2.0297523,1396.2737000000195,0.00010000000474974687,1981.2776000000301,1023
cell_005,205,2379.722300000023,2.8592000000061546,3.5898099,2.0267787,1541.2718999999925,1981.278200000001,1981.278200000001,1022
cell_005,206,2382.359300000011,2.9569999999949914,3.5899272,2.0294452,1471.2515000000133,0.00010000000474974687,1981.2533999999869,1021
cell_005,207,2384.5626999999513,2.8335000000075183,3.5898652,2.0325217,1391.255599999975,1981.2617999999784,1981.2617999999784,1020
cell_005,208,2443.172499999986,2.896999999997263,3.5895953,2.0268779,1381.2690999999759,1981.2688999999664,1981.2688999999664,1019
cell_005,209,2382.551700000011,2.883399999991525,3.5889592,2.0272088,1751.2681000000448,0.00010000000474974687,1981.2681999999913,1018
cell_005,210,2380.583500000008,2.8783999999870957,3.5900159,2.0317769,1446.2547999999952,1981.2597999999998,1981.2597999999998,1017
cell_005,211,2390.5304999999935,2.9505000000352766,3.5896096,2.0298047,1356.2580999999773,1981.265399999975,1981.265399999975,1016
cell_005,212,2384.2981000000145,2.973100000002944,3.5896926,2.0286222,1361.2547999999952,1981.2579999999728,1981.2579999999728,1015
